Отметка времени,Город обучения.,#VALUE!,Курс,"Названия факультета / 
института",Название направления,Нагрузка в ВУЗе,"Качество получаемого образования 
в общем и целом","Оценка
преподавательского состава",Недостатки,"Уровень изучения 
английского языка","Качество получаемого образования
 по иностранным языкам","Уровень изучения
 программирования","Качество получаемого образования
 по программированию","Распределение
 по профилям",После какого курса и как происходит распределение,Студенческая жизнь,Общага,"Ссылка на студента
 Не стесняйся писать ему",
"45078,78091",Москва / область,МГМУ (Первый МГМУ) им. Сеченова,2,Передовая инженерная школа ИСТ,30.05.02 Медицинская биофизика,"В среднем 8 пар в неделю, больше всего задают по медицинским предметам - гистологии, физиологии, биохимии и так далее
В этом семестре 5 экзаменов ",4,4,"По некоторым предметам нет лекций,  материал не объяснят, надо изучать самим",5,5,Его фактически нет ,2,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,,
,,МГМУ (Первый МГМУ) им. Сеченова,2,Передовая Инженерная Школа,30.05.02 Медицинская биофизика,"Пар нет,есть занятия по 2-3,5 часа
2-3 занятия в день
Основное на первых 2 курсах-анатомия,гистология,вышмат,физика,физиология,биохимия
Летом после 1 курса 3 экзамена,после 2 курса 5 Экзаменов
Зимой обычно 1-2 экзамена",4,4,"Учеба в разных корпусах,много времени на дорогу уходит,общежитие очень сложно получится",Средний,4,2,2,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,https://vk.com/qfcvq,
4/14/2025 16:23:51,Москва / область,МГМУ (Первый МГМУ) им. Сеченова,1,ИКМ им. Н.В.Склифосовского (лечебное дело) ,,"Каждой пары на неделе по 1 разу, пары могут начинаться не очень рано, даже в 13:15. Больше всего задают по анатомии и гистологии. Зимой на 1 курсе нет сессии, летом 5 экзаменов ( в след году, скорее всего, будет 4)",5,5,Местами хромает организация ,"Профильный Английский начнется на 2 курсе после изучения general English. Если входной тест хорошо написать, то можно делать проект по Английскому или выбрать второй язык ",5,Начнется на 3 курсе ,4,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,Тг @kse_niya_31,
4/14/2025 16:43:53,Москва / область,МГМУ (Первый МГМУ) им. Сеченова,1,"Институт Фармации им А.П.Нелюбина
Специальность: Биоинженерия и биоинформатика ",,"Нагрузка не очень большая, в день по 3-4 пары, минимум 2, максимум 5 

По профильным предметам нагрузка больше, есть обязательные домашние задания, тестирования проходят очно, есть коллоквиумы и контрольные работы
Профильные предметы:
Общая и неорг химия (1 сем)
Ботаника (1 сем) 
Физика (2,3 сем)
Математика (1,2,3 сем) 
Информатика (1,2,3 сем) 

По непрофильным предметам практически не нагружают, все тестирования для зачетов проходят онлайн, домашних заданий почти нет 

Посещаемость учитывается, отработки зависят конкретно от преподавателя и предмета

В 1 сессию было 2 экзамена и 3 зачета, во 2 будет 3 экзамена и 5 зачетов ",4,3,"Преподаватели редко заинтересованы в прогрессе студентов, часто нет нормальной организации занятий (отменяются пары, преподаватель опаздывает, не проверяет и не учитывает домашние задания, нет промежуточного контроля) 

Пары в разных корпусах, много занимает дорога, из за нее даже 3 пары могут растянуться почти на целый день ","Мой личный уровень после окончания школы был В2-С1, сдала вводное тестирование и теперь прохожу программу с индивидуальным планом, назвается «медицинский проект на английском», для тех, у кого хороший уровень 

Все остальные ребята разделены на группы в зависимости от знания языка, после 2 семестра экзамен (есть возможность получить автомат) ",4,"В 1 семестре на информатике программирования не было (был Excel), 2 семестр посвящен программированию на Python, программа не супер сложная, даже с нуля можно все изучить спокойно  ",4,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,"ВК: https://vk.com/id744084421
Тг: https://t.me/Annie_4ik",
4/14/2025 17:36:20,Москва / область,МГМУ (Первый МГМУ) им. Сеченова,1,ИКМ (институт клинический медицины),31.05.01 лечебное дело,,5,5,Малая доступность получения общежития ,"Есть группы по уровням языка от В1 до С2
Возможность изучать другой язык есть, при наличии С2 по английскому ",5,"На более старших курсах, не могу тут рассказать ",,Да,После 3 курса ,Не интересовался (-лась),,https://vk.com/id323415714,
4/15/2025 13:51:54,Москва / область,МГМУ (Первый МГМУ) им. Сеченова,1,Лечебное дело(Институт клинической медицины),31.05.01 лечебное дело,"На неделе до 14 пар, но часть в дистанционном формате(99% лекций записаны), а сами пары не нормированы по времени(от 1,5 до 4 часов). В летнюю сессию будет 5 экзаменов",5,5,"Порой странное расписание(с одного конца Москвы на другой за час перерыва), по новым предметам не проработали нормально программу, очень быстрый темп учёбы из-за ускоренной программы по некоторым предметам(анатомии точно)","С2, есть разделение по уровням и возможность выбрать другой язык при высоком уровне английского ",5,"Как я понимаю, это будет на более старших курсах",,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,t.me/ficuzzz,
4/15/2025 16:36:22,Москва / область,МГМУ (Первый МГМУ) им. Сеченова,,"Передовая инженерная школа ""Интеллектуальные системы тераностики"" ",30.05.02 Медицинская биофизика,"нагрузка очень высокая, как и на любом мед направлении. Придется изучать помимо анатомии, гистологии, биохимии, физиологии и всех клинических предметов еще фундаментальные: физика, математика, физ/колоид химия и тд Много времени уделяется научной деятельности и всем видам диагностики. в среднем на сессии 3 экзамена и 4 зачета",5,4,"у преподавателей очень разное отношение к нам. либо обожают, либо не понимают, зачем мы нужны) ","изучается 4 года. сдается 2 экзамена и несколько зачетов. Есть разделение групп по английскому, можно еще изучать французский и немецкий. кафедра отличная и очень спокойная ",4,"идет как предметы по выбору. либо клиника, либо программирование. объясняют с нуля. насчет качества не уверен, я выбирал клинику) ",3,Нет,есть предметы по выбору: больше в клинику и больше в научку ,"Есть много различных объединений, каждый найдет себе подходящее",не выдают((( стою в очереди уже 2 года ,@Bro17776 тг ,Биология
4/15/2025 16:51:34,Москва / область,МГМУ (Первый МГМУ) им. Сеченова,1,институт стоматологии Е.В.Боровского,31.05.03 Стоматология,"Нагрузка оптимальная, я бы сказала. Мы учим все базовые предметы на том же уровне, что и лечфак, кроме анатомии(по ней у нас урезана программа, акцент на голову и шею-остальное обзорно, при этом на всех других кафедрах мы учим все системы на таком же уровне, как леч/пед) 
Пар в день обычно 2, иногда 3, но большинство пар идут по 3.15 часа, но каждый раз и у каждых групп расписание может очень сильно отличаться, так что здесь как повезет
Почти все кафедры основные(да и некоторые не основные) требуют от тебя очень много писанины помимо знаний
Зимней сессии на первом курсе не было, зато летнюю нам устроили просто бомбезную: 5 экзаменов( анат,гиста, история, англ и науки о жизни(хим,био,физ)) 
из-за любимого всеми слуха о том, что «сеча-лайт» нам добавили +1 экзамен на сессию, усложнили требования к автоматам на многих кафедрах и требования к посещаемости, каждый день вкидывают что-то новое, но при этом сеча комфортненькая, ты спокойно можешь здесь хорошо учиться, вникать, иногда бывает очень тяжело все успеть и ко всему подготовиться, но никто тебя не отчислит за несданный вовремя колок, отчислят только если ты систематически ничего не делаешь)
главный минус-у нас физра идет 5 лет…",4,4,"—физра 5 лет
—некоторые преподаватели могут вообще ничему не учить, но таких единицы и такое везде может быть","я в группе по английскому С1, можно изучать другой язык, если ты отлично знаешь англ(пишешь тест хорошо и выбираешь другой язык), либо насколько я знаю, есть факультативные кружки по языкам, но это нужно изучитьъ.
оцениваю преподавание английского на 4-5, сейчас просто преподаватель моменялась, она уже не такая крутая, как была до(",4,"у нас нет информатики, но есть возможность идти в доп кружки по программированию",1,Нет,нет вроде,"Есть много различных объединений, каждый найдет себе подходящее",-,_,Биология
4/15/2025 17:20:04,Москва / область,МГМУ (Первый МГМУ) им. Сеченова,1,ИКМ им. Н. В. Склифосовского ,31.05.01 лечебное дело,"В 1 семестре было несложно, из профильных предметов - анатомия и гистология, было много свободного времени. Учились по пол дня
2 семестр кажется адом. Добавились неправильные предметы (типа проектов и эффективных коммуникаций), + биохимия и физиология. Совмещать и успевать все тяжёло. Учимся обычно с 9-10 до 17-18 каждый день. Плюс весной началась практика в больницах по средам по 5 часов в день 

Зимняя сессия: у лечебки на 1 курсе её нет))
Летняя сессия: анатомия, гистология, английский,  история. Автоматов нет (мб только англ). Плюс нашему году сейчас ввели новый экзамен по наукам о жизни,  будет 22 апреля (это физика, химия и биология в одном предмете). Но нас к нему не готовили))))",4,3,"Из недостатков вуза: довольно плохая организация процессов, много неопределённости 
На кафедре гистологии ужасные микроскопы
Половина успеха и любви к предмету зависит от препода((( как бы грустно не звучало. Далеко не все хорошие, всегда приходятся подстраиваться под требования чисто своего, и не всегда все в рамках справедливости","Английский есть, если заниматься на нем осознанно - можно правда чему-то научиться. Но, как правило, студентам - медикам на 1 курсе вообще не до английского ",4,Не учат,4,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,@thisisyulia006,Биология
4/15/2025 17:24:31,Москва / область,МГМУ (Первый МГМУ) им. Сеченова,1,Институт Фармации им. А.П.Нелюбина ,фармация ,"1) 10 пар 
2) Органическая химия, Анатилическая химия, Физиология, История ",5,5,,"1) Хороший уровень обучения, изучаю уровень B2
2) Доп язык можно взять, если у тебя есть есть подтвержденный С1 
 ",4,На нашем курсе пока нет программирования ,1,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,,Химия
4/15/2025 18:49:03,Москва / область,МГМУ (Первый МГМУ) им. Сеченова,1,Институт клинической медицины им. Н.В.Склифосовского,31.05.01 лечебное дело,"Пары длятся по-разному, так что в день их может быть как 1, так и несколько;
В 1 семестре 2 экзаменационных и соответственно профильных предмета (анатомия и гистология), по которым нужно много учить; видимо, как раз для того, чтобы заниматься письменными дз и были придуманы все остальные предметы, по которым практически ничего и никогда не задают
но если правильно распределять дела и не оставлять все на последний день, свободного времени море

Зимней сессии на 1 курсе нет, а в летнюю сдается 4 предмета (2 профильных, остальные нет: английский (можно получить автомат и история)",4,5,"Могут поставить несколько пар, разница между которыми 55 минут - приходится практически бежать ","В начале семестра сдается тест на определение уровня английского, поэтому занимаешься в группе со студентами своего уровня, где ничего особо не требуют
приятный плюс: по английскому пока что есть автомат)
Если уровень владения английским С1, то можно либо начать изучать 2 язык, либо заниматься научным проектом",5,нулевой,,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,,Химия
4/15/2025 19:45:31,Москва / область,МГМУ (Первый МГМУ) им. Сеченова,1,лечебное дело ,31.05.01 лечебное дело,"нагрузка большая, учим много за короткие сроки. пар в неделю сейчас 11-13, больше всего задают дз естественно по анатомии, гистологии, физиологии и биохимии, биологии. зимней сессии не было, на летней будет 5 экзаменов, многие предметы мы закрыли зачетами в течение года ",5,5,,"сейчас уровень B2, английский есть (уже прошли латынь), качеством довольна на 5",5,программирование будет на 3 курсе ,,Нет,вроде не происходит распределения ,"Есть много различных объединений, каждый найдет себе подходящее",,@loooveee1,Биология
